date,AB,BC,CV,HD,POW,SB,CTM
2014-06-01,104,175,88,60,11,50,67
2014-06-02,115,194,103,32,6,34,90
2014-06-03,153,235,125,61,6,38,101
2014-06-04,181,243,152,116,40,116,141
2014-06-05,200,286,142,128,51,138,141
2014-06-06,198,274,138,124,40,144,158
2014-06-07,192,269,124,104,40,114,145
2014-06-08,195,237,136,134,37,126,104
2014-06-09,184,238,141,93,37,120,131
2014-06-10,196,254,118,101,37,115,123
2014-06-11,183,255,140,110,49,119,152
2014-06-12,196,247,129,122,51,122,161
2014-06-13,195,275,137,124,39,123,109
2014-06-14,184,220,129,101,33,104,123
2014-06-15,190,210,109,118,39,123,128
2014-06-16,173,220,127,117,39,123,119
2014-06-17,187,264,134,118,55,116,124
2014-06-18,176,244,134,112,41,122,123
2014-06-19,178,253,134,134,38,100,134
2014-06-20,177,290,141,135,31,147,150
2014-06-21,171,259,134,122,34,105,155
2014-06-22,171,247,137,129,37,122,115
2014-06-23,185,285,130,140,41,138,133
2014-06-24,167,240,120,107,43,125,151
2014-06-25,157,296,147,139,35,112,107
2014-06-26,188,259,135,138,39,134,163
2014-06-27,209,254,146,127,38,134,128
2014-06-28,192,232,116,122,31,125,119
2014-06-29,138,235,75,98,23,121,117
2014-06-30,173,287,143,100,29,109,129
2014-07-01,177,215,138,127,38,121,130
2014-07-02,199,260,146,116,57,122,124
2014-07-03,185,292,141,133,34,115,137
2014-07-04,190,265,145,126,35,130,141
2014-07-05,195,255,118,122,28,110,147
2014-07-06,171,265,127,117,33,92,130
2014-07-07,204,280,129,117,29,111,129
2014-07-08,176,263,142,124,46,150,126
2014-07-09,163,257,130,129,46,112,144
2014-07-10,187,274,145,148,43,100,122
2014-07-11,199,268,135,129,49,137,131
2014-07-12,179,227,149,112,46,117,133
2014-07-13,172,244,129,132,40,125,114
2014-07-14,189,244,135,137,41,109,133
2014-07-15,176,244,112,153,33,119,112
2014-07-16,190,271,145,140,48,101,135
2014-07-17,196,291,159,133,27,121,150
2014-07-18,199,264,152,143,51,136,158
2014-07-19,205,337,153,142,41,132,146
2014-07-20,181,268,147,128,37,122,131
2014-07-21,205,236,120,135,41,125,124
2014-07-22,192,242,145,129,46,142,137
2014-07-23,159,262,127,150,50,137,145
2014-07-24,196,280,156,135,40,115,125
2014-07-25,179,253,118,112,54,136,117
2014-07-26,156,241,158,111,31,116,123
2014-07-27,159,241,123,123,35,130,101
2014-07-28,199,268,137,123,38,114,100
2014-07-29,194,246,120,122,40,136,139
2014-07-30,178,222,154,145,46,127,146
2014-07-31,196,251,124,121,40,143,136
2014-08-01,159,253,119,131,41,115,126
2014-08-02,181,254,134,138,56,110,126
2014-08-03,163,254,146,121,38,125,130
2014-08-04,194,270,103,110,38,120,120
2014-08-05,177,254,129,144,45,131,145
2014-08-06,171,258,143,139,33,142,156
2014-08-07,178,302,148,129,46,120,156
2014-08-08,178,266,98,140,41,119,141
2014-08-09,173,233,110,115,32,119,118
2014-08-10,171,249,112,123,46,110,139
2014-08-11,179,263,129,135,48,119,114
2014-08-12,165,276,114,127,48,115,129
2014-08-13,165,259,118,165,41,108,129
2014-08-14,189,232,137,126,38,111,130
2014-08-15,207,282,123,128,44,130,142
2014-08-16,173,264,110,134,46,132,136
2014-08-17,173,285,137,124,37,128,124
2014-08-18,165,257,141,133,40,121,137
2014-08-19,172,246,126,110,46,128,147
2014-08-20,163,262,136,104,26,106,129
2014-08-21,172,255,125,135,35,120,119
2014-08-22,192,274,152,137,37,115,139
2014-08-23,171,280,132,110,40,148,124
2014-08-24,189,263,115,129,29,87,113
2014-08-25,181,231,118,117,48,134,141
2014-08-26,159,247,114,124,41,103,117
2014-08-27,178,260,119,133,39,131,131
2014-08-28,166,276,121,148,57,120,150
2014-08-29,184,249,154,138,38,111,146
2014-08-30,178,262,137,120,46,126,140
