date,AB,BC,CTM,CV,HD,POW,SB
2015-10-25,194,311,167,182,153,49,158
2015-10-26,238,331,141,199,117,60,147
2015-10-27,204,307,151,168,153,47,162
2015-10-28,211,301,152,203,159,43,154
2015-10-29,226,303,140,186,147,41,188
2015-10-30,193,345,175,184,140,42,137
2015-10-31,222,299,139,220,155,35,150
2015-11-01,225,376,190,235,161,52,163
2015-11-02,229,340,148,172,167,60,160
2015-11-03,219,287,158,166,111,47,149
2015-11-04,228,319,162,215,157,43,144
2015-11-05,205,311,145,202,150,48,178
2015-11-06,266,297,171,187,164,58,184
2015-11-07,212,310,167,145,145,42,137
2015-11-08,228,330,169,181,148,60,145
2015-11-09,252,322,165,184,137,52,129
2015-11-10,207,284,143,188,159,48,159
2015-11-11,205,292,142,181,149,57,137
2015-11-12,221,290,134,201,135,43,160
2015-11-13,243,287,139,147,140,38,142
2015-11-14,267,296,157,206,115,46,158
2015-11-15,212,300,152,182,129,48,126
2015-11-16,223,320,169,193,177,62,160
2015-11-17,233,321,167,182,144,41,151
2015-11-18,211,309,166,207,155,44,154
2015-11-19,209,283,155,190,134,31,149
2015-11-20,216,307,163,192,167,43,180
2015-11-21,206,336,133,201,150,40,136
2015-11-22,241,300,155,193,125,40,178
2015-11-23,240,302,157,200,133,45,130
2015-11-24,190,275,157,168,112,51,140
2015-11-25,244,293,130,211,122,47,151
2015-11-26,220,299,154,234,156,56,161
2015-11-27,248,286,161,181,151,48,156
2015-11-28,210,289,153,151,130,45,164
2015-11-29,208,328,156,181,116,39,155
2015-11-30,249,321,165,213,165,62,173
2015-12-01,235,307,181,182,157,59,181
2015-12-02,225,286,192,185,140,40,173
2015-12-03,213,267,148,192,158,54,171
2015-12-04,202,328,195,189,128,51,175
2015-12-05,235,301,180,202,136,53,185
2015-12-06,227,329,160,217,154,46,154
2015-12-07,247,350,164,183,155,54,177
2015-12-08,226,352,169,177,128,44,152
2015-12-09,219,315,144,164,155,47,144
2015-12-10,221,320,144,171,124,70,155
2015-12-11,244,294,182,172,130,39,185
2015-12-12,209,287,170,170,166,57,182
2015-12-13,208,282,145,202,139,40,157
2015-12-14,248,306,184,200,139,61,151
2015-12-15,226,281,164,149,156,52,143
2015-12-16,214,310,151,194,145,41,164
2015-12-17,196,303,171,195,122,35,155
2015-12-18,270,301,168,178,118,64,160
2015-12-19,228,308,172,211,167,75,176
2015-12-20,223,334,184,192,149,64,159
2015-12-21,196,304,186,204,158,61,171
2015-12-22,234,300,183,202,120,39,160
2015-12-23,215,314,150,163,150,52,143
2015-12-24,217,317,149,163,138,47,162
2015-12-25,211,339,147,170,135,29,121
2015-12-26,242,348,189,198,149,66,160
2015-12-27,293,361,220,181,163,57,184
2015-12-28,235,344,151,181,144,47,153
2015-12-29,240,292,170,181,151,59,153
2015-12-30,202,292,155,146,145,54,147
2015-12-31,237,285,180,222,149,44,176
2016-01-01,264,404,225,265,178,63,183
2016-01-02,268,328,173,187,136,46,165
2016-01-03,245,328,173,176,132,68,161
2016-01-04,251,370,169,186,161,76,165
2016-01-05,245,314,144,187,157,53,162
2016-01-06,243,315,149,170,158,46,135
2016-01-07,223,273,156,199,150,48,159
2016-01-08,248,280,161,220,138,49,157
2016-01-09,235,255,163,213,135,33,144
2016-01-10,223,308,163,190,136,41,147
2016-01-11,209,351,165,216,147,45,187
2016-01-12,234,306,153,190,153,45,148
2016-01-13,243,319,174,213,147,63,143
2016-01-14,228,312,159,188,160,45,157
2016-01-15,210,326,184,229,176,35,176
2016-01-16,239,275,147,222,148,40,148
2016-01-17,203,289,166,172,133,41,130
2016-01-18,256,331,192,218,129,56,142
2016-01-19,234,316,148,217,144,50,161
2016-01-20,223,287,145,165,129,44,165
2016-01-21,241,303,177,194,163,46,159
2016-01-22,251,309,186,173,154,57,152
2016-01-23,183,339,158,198,141,63,161
2016-01-24,248,338,181,201,145,59,165
2016-01-25,244,338,187,204,162,63,169
2016-01-26,252,344,177,166,144,58,192
2016-01-27,235,304,156,211,177,57,142
2016-01-28,269,310,198,207,139,38,184
2016-01-29,210,303,204,202,126,65,149
2016-01-30,212,317,182,230,158,49,136
2016-01-31,223,299,156,185,152,47,170
2016-02-01,287,313,181,229,160,54,175
2016-02-02,212,309,160,166,176,61,163
2016-02-03,231,278,176,181,174,54,156
2016-02-04,199,291,150,198,151,46,177
2016-02-05,244,301,165,188,175,69,182
2016-02-06,238,306,182,211,133,48,166
2016-02-07,220,302,164,175,165,50,174
2016-02-08,258,329,204,226,129,41,153
2016-02-09,270,351,166,239,157,65,164
2016-02-10,218,318,171,206,137,58,182
2016-02-11,227,299,155,196,137,51,144
2016-02-12,246,323,149,180,190,52,168
2016-02-13,210,329,162,193,144,58,161
2016-02-14,237,305,176,200,168,37,150
2016-02-15,233,295,160,174,154,52,157
2016-02-16,230,281,157,211,124,37,141
2016-02-17,222,301,182,178,152,36,141
2016-02-18,246,291,153,203,160,66,146
2016-02-19,248,306,178,225,140,40,191
2016-02-20,283,346,168,198,129,47,172
2016-02-21,268,306,135,199,167,53,161
2016-02-22,232,323,180,205,181,64,196
2016-02-23,233,275,147,207,143,46,175
2016-02-24,242,287,178,210,143,53,167
2016-02-25,225,270,199,199,142,42,158
2016-02-26,231,343,175,211,170,49,154
2016-02-27,291,345,208,209,162,43,190
2016-02-28,248,332,184,181,176,61,159
2016-02-29,257,368,173,206,171,59,186
2016-03-01,212,293,175,200,179,67,141
2016-03-02,224,296,172,188,144,51,148
2016-03-03,241,319,186,206,128,54,172
2016-03-04,234,324,176,232,132,74,184
2016-03-05,228,290,189,240,150,64,161
2016-03-06,219,300,146,205,146,47,181
2016-03-07,248,344,183,181,171,54,185
2016-03-08,214,330,167,209,139,58,178
2016-03-09,249,346,159,213,159,50,165
2016-03-10,235,321,167,215,148,53,144
2016-03-11,222,333,161,173,150,56,168
2016-03-12,263,326,168,225,159,45,186
2016-03-13,311,342,182,248,163,47,157
2016-03-14,232,363,176,210,137,60,169
2016-03-15,252,334,187,205,124,47,205
2016-03-16,212,344,159,180,137,51,203
2016-03-17,227,316,177,214,120,61,161
2016-03-18,222,342,207,194,166,60,166
2016-03-19,234,305,178,176,137,44,153
2016-03-20,241,311,203,197,169,40,195
2016-03-21,296,343,177,179,159,50,183
2016-03-22,248,369,163,188,160,56,167
2016-03-23,236,305,151,146,143,68,185
2016-03-24,234,324,178,175,147,47,158
2016-03-25,224,335,183,180,161,51,164
2016-03-26,252,312,171,194,131,58,149
2016-03-27,226,335,171,199,140,39,153
2016-03-28,268,394,170,202,165,50,181
2016-03-29,238,360,176,174,176,59,168
2016-03-30,212,285,177,170,157,53,191
2016-03-31,239,277,169,205,127,69,146
2016-04-01,223,320,160,189,176,57,141
2016-04-02,259,316,166,191,136,39,151
2016-04-03,277,351,173,189,175,56,153
2016-04-04,244,378,186,179,149,68,169
2016-04-05,197,354,158,165,155,57,159
2016-04-06,187,317,180,154,137,54,169
2016-04-07,201,289,146,144,154,54,142
2016-04-08,202,302,170,146,115,55,151
2016-04-09,213,302,144,174,158,53,151
2016-04-10,198,284,153,147,145,49,124
2016-04-11,227,283,178,168,115,42,159
2016-04-12,191,329,164,135,128,67,154
2016-04-13,228,289,154,190,157,47,158
2016-04-14,217,311,157,175,150,45,154
2016-04-15,201,311,165,168,151,60,154
2016-04-16,232,274,154,174,132,53,150
2016-04-17,241,294,153,163,174,48,124
2016-04-18,216,300,154,172,134,52,132
2016-04-19,183,295,171,160,143,49,142
2016-04-20,203,291,149,143,142,57,160
2016-04-21,204,279,142,156,131,45,183
2016-04-22,186,290,149,158,151,57,137
2016-04-23,173,304,149,164,159,68,122
2016-04-24,187,266,157,184,127,36,169
2016-04-25,273,332,138,146,149,47,122
2016-04-26,188,234,148,152,147,37,110
2016-04-27,179,272,139,164,152,52,144
2016-04-28,199,288,156,146,137,47,142
2016-04-29,208,298,145,181,149,39,148
2016-04-30,230,307,175,199,141,41,140
2016-05-01,238,340,161,194,169,56,138
2016-05-02,182,313,149,182,133,50,132
2016-05-03,234,321,168,188,133,53,128
2016-05-04,184,287,166,194,129,42,152
2016-05-05,209,297,152,204,149,51,136
2016-05-06,221,310,197,197,156,52,154
2016-05-07,225,334,175,199,171,40,178
2016-05-08,234,309,187,191,157,64,160
2016-05-09,208,340,171,210,174,62,153
2016-05-10,236,309,167,188,154,36,148
2016-05-11,202,300,165,179,151,52,156
2016-05-12,215,353,180,189,154,48,171
2016-05-13,223,297,188,199,163,54,174
2016-05-14,175,319,177,200,149,50,155
2016-05-15,236,272,159,197,149,46,142
2016-05-16,217,280,191,176,116,51,141
2016-05-17,203,286,165,176,154,66,168
2016-05-18,224,303,165,186,140,35,124
2016-05-19,205,273,149,157,162,53,160
2016-05-20,222,372,169,165,158,43,161
2016-05-21,205,301,167,170,152,41,148
2016-05-22,207,291,141,174,135,50,124
2016-05-23,230,318,142,168,154,60,137
2016-05-24,194,306,153,200,152,39,142
2016-05-25,216,257,169,186,166,62,129
2016-05-26,238,318,170,183,159,58,158
2016-05-27,164,283,158,195,157,44,161
2016-05-28,259,348,184,206,171,48,175
2016-05-29,217,338,208,231,153,65,181
2016-05-30,256,345,210,190,186,60,184
2016-05-31,228,352,149,191,170,62,188
2016-06-01,248,320,163,168,147,52,166
2016-06-02,218,293,156,162,157,45,157
2016-06-03,197,316,149,186,161,34,139
2016-06-04,229,301,167,201,168,55,163
2016-06-05,230,350,187,175,136,64,174
2016-06-06,234,340,185,179,173,46,184
2016-06-07,218,362,168,161,138,74,151
2016-06-08,248,320,147,218,156,45,195
2016-06-09,225,306,157,201,131,51,156
2016-06-10,233,329,133,170,141,51,154
2016-06-11,223,316,183,191,116,64,135
2016-06-12,220,304,179,165,145,61,151
2016-06-13,256,317,155,190,152,53,148
2016-06-14,241,275,151,173,113,45,138
2016-06-15,216,288,160,144,165,50,158
2016-06-16,223,278,161,175,157,47,155
2016-06-17,222,326,152,171,147,59,166
2016-06-18,187,301,154,182,140,54,144
2016-06-19,212,307,167,167,158,48,116
2016-06-20,215,345,181,188,159,44,181
2016-06-21,226,316,181,184,158,57,135
2016-06-22,199,309,132,188,164,44,147
2016-06-23,218,354,163,178,177,69,158
2016-06-24,206,331,174,172,148,54,150
2016-06-25,194,366,152,209,159,49,163
2016-06-26,226,309,174,168,165,54,156
2016-06-27,259,346,138,203,155,43,174
2016-06-28,211,271,146,167,134,38,150
2016-06-29,187,293,168,149,140,49,155
2016-06-30,192,329,165,213,122,41,129
2016-07-01,221,308,160,194,161,58,162
2016-07-02,241,364,164,188,144,61,148
2016-07-03,223,329,163,186,159,40,140
2016-07-04,263,316,173,208,160,53,156
2016-07-05,223,320,170,159,138,42,142
2016-07-06,199,335,171,182,140,52,146
2016-07-07,244,347,147,166,138,42,138
2016-07-08,200,335,151,196,160,67,199
2016-07-09,209,312,159,191,146,63,153
2016-07-10,234,302,149,200,166,59,139
2016-07-11,237,344,151,188,159,61,148
2016-07-12,217,317,163,182,133,47,155
2016-07-13,192,298,157,149,171,59,162
2016-07-14,214,287,147,163,163,45,158
2016-07-15,228,318,138,160,177,49,150
2016-07-16,232,320,170,191,172,65,156
2016-07-17,248,369,176,203,161,43,158
2016-07-18,249,332,194,204,173,83,166
2016-07-19,267,442,199,211,186,65,198
2016-07-20,249,346,146,224,154,60,177
2016-07-21,249,319,157,164,179,58,185
2016-07-22,235,324,180,205,172,56,180
2016-07-23,223,341,176,193,170,56,193
2016-07-24,255,335,145,191,160,50,159
2016-07-25,223,318,146,171,139,63,171
2016-07-26,196,293,158,215,129,42,136
2016-07-27,223,301,139,166,158,45,172
2016-07-28,236,315,121,182,144,51,141
2016-07-29,247,322,164,165,163,50,162
2016-07-30,228,276,155,211,181,52,169
2016-07-31,248,322,156,171,139,48,202
2016-08-01,202,312,147,166,155,45,148
2016-08-02,239,313,152,179,165,67,145
2016-08-03,208,323,158,188,151,49,164
2016-08-04,255,331,150,150,140,53,145
2016-08-05,232,301,157,168,178,73,154
2016-08-06,202,308,168,174,174,54,170
2016-08-07,211,377,163,175,150,57,161
2016-08-08,212,353,197,134,174,53,159
2016-08-09,226,301,141,150,133,41,162
2016-08-10,231,301,167,150,154,50,147
2016-08-11,190,303,148,167,153,62,152
2016-08-12,189,335,164,149,157,57,142
2016-08-13,208,348,146,175,189,54,147
2016-08-14,226,266,162,176,149,49,134
2016-08-15,251,328,177,179,146,61,155
2016-08-16,228,341,155,155,158,54,161
2016-08-17,211,356,162,194,135,47,167
2016-08-18,199,325,169,224,170,54,148
2016-08-19,247,304,184,195,155,60,162
2016-08-20,180,315,151,172,115,40,130
2016-08-21,222,300,148,156,137,42,153
2016-08-22,241,349,165,176,165,40,142
2016-08-23,239,403,159,204,151,62,187
2016-08-24,254,341,151,171,164,43,130
2016-08-25,225,302,172,175,140,71,176
2016-08-26,206,326,153,179,141,60,149
2016-08-27,229,341,167,154,150,58,161
2016-08-28,235,330,194,188,171,71,150
2016-08-29,240,331,181,202,157,48,141
2016-08-30,207,326,176,194,138,60,159
2016-08-31,227,298,143,185,169,39,150
2016-09-01,228,281,162,178,192,51,142
2016-09-02,207,337,172,169,163,44,140
2016-09-03,206,291,151,173,152,31,140
2016-09-04,257,315,148,147,139,51,141
2016-09-05,233,307,136,178,149,55,166
2016-09-06,220,331,175,162,154,53,164
2016-09-07,232,397,180,159,152,64,169
2016-09-08,212,301,146,170,131,46,162
2016-09-09,232,328,153,184,157,51,133
2016-09-10,212,358,182,167,129,36,167
2016-09-11,228,310,179,195,147,55,134
2016-09-12,258,297,160,232,153,57,162
2016-09-13,240,309,146,187,150,58,147
2016-09-14,235,382,153,202,146,44,177
2016-09-15,265,310,179,195,140,52,177
2016-09-16,227,309,132,205,161,45,139
2016-09-17,256,310,150,213,130,66,134
2016-09-18,226,334,158,208,151,42,143
2016-09-19,240,288,179,196,145,55,143
2016-09-20,239,308,159,186,127,48,125
2016-09-21,212,352,175,176,163,40,178
2016-09-22,218,357,168,173,121,41,168
2016-09-23,217,330,165,210,155,59,195
2016-09-24,197,315,159,202,141,52,190
2016-09-25,186,321,171,168,165,48,143
2016-09-26,247,329,174,154,149,45,165
2016-09-27,233,347,150,184,135,45,131
2016-09-28,179,308,182,179,136,44,143
2016-09-29,217,332,175,185,162,50,171
2016-09-30,248,313,170,197,152,61,187
2016-10-01,231,292,176,195,145,54,156
2016-10-02,224,321,170,199,181,59,134
2016-10-03,222,332,167,192,168,48,162
2016-10-04,201,328,178,210,163,50,160
2016-10-05,226,301,169,201,124,53,141
2016-10-06,211,293,156,172,169,60,137
2016-10-07,195,308,191,199,131,52,162
2016-10-08,215,303,194,207,167,57,164
2016-10-09,235,326,172,206,146,58,163
2016-10-10,221,303,177,204,144,63,164
2016-10-11,240,304,163,199,143,34,161
2016-10-12,216,325,149,180,142,45,167
2016-10-13,205,344,155,181,125,55,152
2016-10-14,238,330,152,182,180,71,142
2016-10-15,250,340,171,200,164,55,156
2016-10-16,238,292,187,182,139,53,164
2016-10-17,224,305,193,180,174,71,174
2016-10-18,204,279,154,194,171,51,129
2016-10-19,197,314,169,185,116,48,168
2016-10-20,190,314,158,184,132,49,166
2016-10-21,216,305,168,213,169,47,131
2016-10-22,237,307,189,168,162,56,185
2016-10-23,266,369,172,190,145,47,160
2016-10-24,206,347,171,186,142,79,168
2016-10-25,217,282,167,177,165,68,160
2016-10-26,208,322,187,186,159,49,158
2016-10-27,247,281,187,196,145,55,162
2016-10-28,222,330,166,191,130,67,166
2016-10-29,242,309,168,187,174,54,159
2016-10-30,263,334,214,218,174,45,171
2016-10-31,254,340,168,229,129,53,181
2016-11-01,206,321,169,175,154,55,134
2016-11-02,199,303,135,180,145,42,111
2016-11-03,218,264,140,200,143,56,160
2016-11-04,203,338,173,160,145,57,177
2016-11-05,206,290,154,195,156,52,157
2016-11-06,228,305,167,183,142,43,164
2016-11-07,262,330,196,155,126,52,164
2016-11-08,188,278,173,143,158,47,142
2016-11-09,210,290,168,180,141,54,158
2016-11-10,232,357,176,195,149,54,143
2016-11-11,236,344,182,174,145,57,166
2016-11-12,226,337,166,193,153,64,151
2016-11-13,245,308,196,207,138,56,172
2016-11-14,252,354,200,222,142,46,165
2016-11-15,220,314,147,196,144,51,188
2016-11-16,205,308,165,186,162,51,139
2016-11-17,238,279,149,175,146,46,170
2016-11-18,256,340,179,209,165,66,152
2016-11-19,248,310,178,219,150,59,155
2016-11-20,252,341,177,230,143,46,142
2016-11-21,271,353,213,211,179,56,175
2016-11-22,233,366,164,178,147,43,120
2016-11-23,269,330,165,183,156,41,187
2016-11-24,191,339,165,177,156,41,165
2016-11-25,214,299,164,214,163,48,188
2016-11-26,239,311,156,204,127,49,186
2016-11-27,240,322,199,208,130,55,152
2016-11-28,227,350,158,188,159,55,151
2016-11-29,226,292,145,164,150,31,164
2016-11-30,234,285,174,152,141,40,149
2016-12-01,217,316,171,166,144,50,172
2016-12-02,257,321,168,213,157,70,179
2016-12-03,240,361,202,224,154,51,180
2016-12-04,252,359,165,206,132,51,190
2016-12-05,238,352,193,174,178,65,178
2016-12-06,205,331,174,189,195,53,223
2016-12-07,219,310,211,223,141,60,194
2016-12-08,229,343,164,215,181,42,165
2016-12-09,249,339,176,232,170,48,181
2016-12-10,250,322,182,220,165,54,188
2016-12-11,241,343,174,186,158,44,174
2016-12-12,319,318,199,177,188,46,189
2016-12-13,225,342,187,188,137,61,167
2016-12-14,193,324,187,180,125,57,192
2016-12-15,263,343,173,204,159,36,175
2016-12-16,244,319,196,222,147,61,165
2016-12-17,234,293,177,221,153,48,167
2016-12-18,296,361,172,205,143,53,192
2016-12-19,282,294,185,187,157,46,209
2016-12-20,261,298,172,166,146,48,133
2016-12-21,208,310,161,167,139,68,173
2016-12-22,226,353,197,187,134,70,157
2016-12-23,242,327,187,192,152,53,152
2016-12-24,250,321,165,207,166,49,170
2016-12-25,246,308,207,173,143,52,184
2016-12-26,269,358,198,208,174,50,157
2016-12-27,310,366,211,205,172,62,181
2016-12-28,262,364,183,177,174,53,166
2016-12-29,242,332,176,170,135,61,189
2016-12-30,288,328,166,164,147,73,190
2016-12-31,266,323,156,183,151,65,151
2017-01-01,367,445,248,307,200,69,200
2017-01-02,305,329,188,217,144,60,150
2017-01-03,288,395,165,196,181,68,196
2017-01-04,281,300,196,224,139,64,177
2017-01-05,219,328,201,179,160,82,180
2017-01-06,213,350,173,186,178,49,191
2017-01-07,243,352,175,170,150,44,128
2017-01-08,238,320,189,159,158,64,151
2017-01-09,245,356,214,169,160,60,181
2017-01-10,238,312,172,181,158,53,146
2017-01-11,235,323,184,157,143,60,161
2017-01-12,233,298,149,179,139,45,144
2017-01-13,219,258,178,187,157,44,143
2017-01-14,224,325,164,196,130,42,170
2017-01-15,229,315,185,159,134,52,155
2017-01-16,220,313,187,168,136,50,155
2017-01-17,205,281,173,168,126,53,133
2017-01-18,232,348,187,182,115,45,123
2017-01-19,258,297,173,192,140,61,134
2017-01-20,235,295,196,173,162,55,161
2017-01-21,223,284,167,194,151,45,149
2017-01-22,221,300,174,192,172,45,139
2017-01-23,243,303,158,204,126,42,136
2017-01-24,213,262,173,188,138,66,147
2017-01-25,183,309,165,175,161,59,167
2017-01-26,204,291,186,174,131,54,156
2017-01-27,237,303,171,147,140,51,144
2017-01-28,236,263,165,198,158,41,162
2017-01-29,237,302,178,199,143,41,161
2017-01-30,278,318,167,219,155,45,173
2017-01-31,228,324,186,211,163,60,168
2017-02-01,215,356,184,206,149,49,156
2017-02-02,243,306,170,182,153,60,176
2017-02-03,227,328,200,175,145,62,154
2017-02-04,256,301,147,173,170,47,180
2017-02-05,245,304,182,167,156,65,132
2017-02-06,207,279,186,172,146,48,134
2017-02-07,228,315,158,167,132,42,144
2017-02-08,239,325,141,191,168,44,132
2017-02-09,204,308,150,172,153,38,127
2017-02-10,185,284,166,171,154,46,179
2017-02-11,236,283,188,205,143,47,134
2017-02-12,196,343,187,189,164,51,188
2017-02-13,223,334,180,191,147,76,151
2017-02-14,228,301,159,161,126,49,128
2017-02-15,255,307,167,182,157,53,174
2017-02-16,219,318,160,195,190,62,201
2017-02-17,231,333,187,190,173,67,166
2017-02-18,206,317,175,185,145,52,151
2017-02-19,192,288,191,185,164,49,169
2017-02-20,261,339,162,180,166,48,166
2017-02-21,221,326,185,190,150,44,167
2017-02-22,226,302,142,194,156,49,135
2017-02-23,229,341,131,168,113,34,177
2017-02-24,239,299,176,182,152,49,165
2017-02-25,228,339,168,181,151,39,169
2017-02-26,215,325,144,158,165,47,178
2017-02-27,233,340,158,199,145,68,186
2017-02-28,239,289,157,188,121,48,184
2017-03-01,213,323,154,199,163,67,168
2017-03-02,224,280,188,188,134,64,196
2017-03-03,225,342,197,167,172,47,145
2017-03-04,214,328,176,196,153,51,159
2017-03-05,220,281,197,182,144,45,146
2017-03-06,229,311,151,168,130,41,163
2017-03-07,233,294,161,189,142,50,126
2017-03-08,230,328,158,147,150,48,161
2017-03-09,200,314,168,175,137,46,163
2017-03-10,231,294,167,171,143,67,175
2017-03-11,200,310,198,222,169,36,180
2017-03-12,222,319,169,184,155,56,174
2017-03-13,257,336,154,190,125,37,107
2017-03-14,207,297,180,188,130,48,153
2017-03-15,201,318,167,183,139,40,139
2017-03-16,205,268,173,178,151,50,124
2017-03-17,229,295,131,191,126,52,148
2017-03-18,218,288,198,171,157,59,131
2017-03-19,236,313,195,222,172,50,144
2017-03-20,200,303,165,201,157,57,148
2017-03-21,230,278,181,170,136,49,151
2017-03-22,241,312,130,211,162,47,173
2017-03-23,216,292,172,160,139,51,146
2017-03-24,229,322,187,179,138,49,158
2017-03-25,218,288,179,200,166,45,171
2017-03-26,204,322,169,155,151,38,163
2017-03-27,250,346,192,179,142,68,182
2017-03-28,242,309,173,176,140,34,164
2017-03-29,218,275,161,169,158,48,139
2017-03-30,221,298,166,161,148,52,166
2017-03-31,231,342,164,174,162,72,153
2017-04-01,229,316,176,205,159,45,197
2017-04-02,232,334,179,163,158,43,170
2017-04-03,256,333,163,196,144,54,154
2017-04-04,207,325,179,174,143,48,129
2017-04-05,228,291,167,180,128,43,143
2017-04-06,236,318,176,207,157,47,146
2017-04-07,241,325,177,185,135,57,147
2017-04-08,248,330,167,193,175,59,143
2017-04-09,222,328,184,151,119,42,166
2017-04-10,229,318,174,176,131,48,153
2017-04-11,225,281,153,177,145,50,157
2017-04-12,218,287,166,158,132,56,144
2017-04-13,237,321,179,153,162,62,148
2017-04-14,218,318,178,173,177,58,160
2017-04-15,252,358,170,203,176,50,138
2017-04-16,241,330,154,196,157,43,153
2017-04-17,221,317,154,190,164,42,153
2017-04-18,225,322,143,166,175,50,140
2017-04-19,227,290,170,191,149,54,126
2017-04-20,223,304,163,183,127,48,149
2017-04-21,204,270,171,167,144,58,133
2017-04-22,252,303,184,180,157,45,150
2017-04-23,202,308,188,183,174,43,164
2017-04-24,233,329,164,186,126,49,190
2017-04-25,214,294,165,165,146,39,135
2017-04-26,210,295,173,176,145,52,160
2017-04-27,225,264,149,170,113,60,137
2017-04-28,247,296,173,189,132,57,135
2017-04-29,214,324,170,202,141,69,159
2017-04-30,231,325,188,193,146,56,180
2017-05-01,227,306,152,165,154,52,150
2017-05-02,227,369,169,223,200,57,161
2017-05-03,192,333,164,169,133,54,163
2017-05-04,207,347,168,169,148,52,143
2017-05-05,204,313,176,159,163,65,158
2017-05-06,268,307,180,198,142,52,152
2017-05-07,216,376,165,181,162,45,154
2017-05-08,222,332,177,207,160,47,172
2017-05-09,228,309,138,192,148,43,151
2017-05-10,227,330,175,180,137,53,152
2017-05-11,213,333,178,182,153,56,156
2017-05-12,206,316,168,185,163,58,180
2017-05-13,206,310,157,193,157,60,140
2017-05-14,224,326,162,189,123,41,158
2017-05-15,185,309,170,212,124,45,133
2017-05-16,189,289,174,165,133,55,147
2017-05-17,229,306,179,201,133,50,147
2017-05-18,221,308,184,170,137,53,144
2017-05-19,199,320,165,200,180,57,155
2017-05-20,211,323,189,219,152,54,144
2017-05-21,223,318,160,175,136,52,163
2017-05-22,240,313,193,198,156,57,171
2017-05-23,223,336,161,172,148,54,164
2017-05-24,234,341,175,193,136,51,153
2017-05-25,280,327,170,211,165,68,184
2017-05-26,275,405,204,235,149,64,175
2017-05-27,222,363,201,153,167,53,153
2017-05-28,238,353,216,173,165,73,161
2017-05-29,207,347,148,166,174,47,182
2017-05-30,228,344,214,171,151,57,137
2017-05-31,228,355,164,152,137,47,145
2017-06-01,226,314,178,175,169,53,131
2017-06-02,212,370,151,184,158,58,145
2017-06-03,218,335,142,193,161,45,141
2017-06-04,212,334,192,159,144,49,134
2017-06-05,219,323,180,169,141,62,155
2017-06-06,196,300,141,139,124,52,157
2017-06-07,232,297,164,158,146,47,172
2017-06-08,234,326,196,160,142,51,190
2017-06-09,220,353,157,193,142,44,136
2017-06-10,208,307,179,189,138,47,142
2017-06-11,207,312,167,169,148,47,170
2017-06-12,215,304,145,193,161,40,156
2017-06-13,227,298,168,213,135,32,195
2017-06-14,231,332,164,198,160,51,181
2017-06-15,218,311,153,180,145,52,139
2017-06-16,212,313,170,172,155,44,149
2017-06-17,207,330,182,192,174,87,175
2017-06-18,302,363,211,225,177,67,198
2017-06-19,261,362,216,234,151,64,179
2017-06-20,266,325,187,200,183,52,183
2017-06-21,283,323,201,184,182,79,234
2017-06-22,250,295,175,172,167,47,173
2017-06-23,216,311,186,201,153,63,153
2017-06-24,252,338,196,202,179,38,140
2017-06-25,231,364,170,194,136,50,131
2017-06-26,233,315,157,184,151,59,166
2017-06-27,236,316,158,190,148,61,146
2017-06-28,200,309,145,163,138,43,168
2017-06-29,221,284,174,166,153,62,165
2017-06-30,216,348,169,161,155,57,156
2017-07-01,237,350,180,204,136,50,176
2017-07-02,231,320,169,193,168,58,168
2017-07-03,240,388,194,176,177,73,151
2017-07-04,228,357,155,201,173,67,148
2017-07-05,232,371,193,202,186,49,137
2017-07-06,253,329,210,212,140,47,186
2017-07-07,226,346,153,192,147,66,134
2017-07-08,220,344,201,181,167,51,173
2017-07-09,234,321,166,165,164,56,185
2017-07-10,210,311,193,198,148,52,144
2017-07-11,218,347,174,187,149,38,114
2017-07-12,223,308,175,178,141,61,153
2017-07-13,202,326,185,214,137,46,151
2017-07-14,212,309,139,167,148,48,152
2017-07-15,233,360,148,194,146,58,166
2017-07-16,239,327,132,164,149,59,153
2017-07-17,246,393,165,199,177,62,155
2017-07-18,259,347,165,181,146,68,150
2017-07-19,233,360,159,203,164,58,181
2017-07-20,239,297,147,154,132,44,136
2017-07-21,233,324,189,154,159,51,126
2017-07-22,236,316,166,183,147,44,160
2017-07-23,228,307,180,201,156,56,187
2017-07-24,228,325,187,204,155,66,161
2017-07-25,254,343,165,177,153,63,158
2017-07-26,223,310,145,186,140,68,124
2017-07-27,193,303,180,141,159,40,135
2017-07-28,213,352,166,200,147,41,170
2017-07-29,241,318,170,190,153,60,162
2017-07-30,232,328,178,181,178,67,147
2017-07-31,265,343,166,199,160,49,151
2017-08-01,240,333,179,199,155,45,124
2017-08-02,220,333,169,183,172,44,155
2017-08-03,248,302,153,163,162,44,139
2017-08-04,210,311,165,164,155,56,154
2017-08-05,207,336,167,198,171,46,168
2017-08-06,216,336,169,161,175,46,168
2017-08-07,249,354,148,157,141,72,158
2017-08-08,210,329,150,187,141,57,141
2017-08-09,208,302,138,151,157,40,135
2017-08-10,222,351,166,161,164,50,181
2017-08-11,214,303,172,169,132,43,167
2017-08-12,237,331,166,179,202,43,156
2017-08-13,230,331,153,196,162,75,175
2017-08-14,229,348,166,186,140,53,178
2017-08-15,208,335,177,155,169,34,156
2017-08-16,201,284,160,195,141,53,164
2017-08-17,232,305,175,176,140,58,149
2017-08-18,213,323,177,202,141,44,148
2017-08-19,229,334,151,193,165,55,186
