date,AB,BC,CTM,CV,HD,POW,SB
2014-06-01,248,320,162,171,142,52,161
2014-06-02,218,293,155,165,152,45,152
2014-06-03,197,316,148,189,156,34,134
2014-06-04,229,301,166,204,163,55,158
2014-06-05,230,350,186,178,131,64,169
2014-06-06,234,340,184,182,168,46,179
2014-06-07,218,362,167,164,133,74,146
2014-06-08,248,320,146,221,151,45,190
2014-06-09,225,306,156,204,126,51,151
2014-06-10,233,329,132,173,136,51,149
2014-06-11,223,316,182,194,111,64,130
2014-06-12,220,304,178,168,140,61,146
2014-06-13,256,317,154,193,147,53,143
2014-06-14,241,275,150,176,108,45,133
2014-06-15,216,288,159,147,160,50,153
2014-06-16,223,278,160,178,152,47,150
2014-06-17,222,326,151,174,142,59,161
2014-06-18,187,301,153,185,135,54,139
2014-06-19,212,307,166,170,153,48,111
2014-06-20,215,345,180,191,154,44,176
2014-06-21,226,316,180,187,153,57,130
2014-06-22,199,309,131,191,159,44,142
2014-06-23,218,354,162,181,172,69,153
2014-06-24,206,331,173,175,143,54,145
2014-06-25,194,366,151,212,154,49,158
2014-06-26,226,309,173,171,160,54,151
2014-06-27,259,346,137,206,150,43,169
2014-06-28,211,271,145,170,129,38,145
2014-06-29,187,293,167,152,135,49,150
2014-06-30,192,329,164,216,117,41,124
2014-07-01,221,308,159,197,156,58,157
2014-07-02,241,364,163,191,139,61,143
2014-07-03,223,329,162,189,154,40,135
2014-07-04,263,316,172,211,155,53,151
2014-07-05,223,320,169,162,133,42,137
2014-07-06,199,335,170,185,135,52,141
2014-07-07,244,347,146,169,133,42,133
2014-07-08,200,335,150,199,155,67,194
2014-07-09,209,312,158,194,141,63,148
2014-07-10,234,302,148,203,161,59,134
2014-07-11,237,344,150,191,154,61,143
2014-07-12,217,317,162,185,128,47,150
2014-07-13,192,298,156,152,166,59,157
2014-07-14,214,287,146,166,158,45,153
2014-07-15,228,318,137,163,172,49,145
2014-07-16,232,320,169,194,167,65,151
2014-07-17,248,369,175,206,156,43,153
2014-07-18,249,332,193,207,168,83,161
2014-07-19,267,442,198,214,181,65,193
2014-07-20,249,346,145,227,149,60,172
2014-07-21,249,319,156,167,174,58,180
2014-07-22,235,324,179,208,167,56,175
2014-07-23,223,341,175,196,165,56,188
2014-07-24,255,335,144,194,155,50,154
2014-07-25,223,318,145,174,134,63,166
2014-07-26,196,293,157,218,124,42,131
2014-07-27,223,301,138,169,153,45,167
2014-07-28,236,315,120,185,139,51,136
2014-07-29,247,322,163,168,158,50,157
2014-07-30,228,276,154,214,176,52,164
2014-07-31,248,322,155,174,134,48,197
2014-08-01,202,312,146,169,150,45,143
2014-08-02,239,313,151,182,160,67,140
2014-08-03,208,323,157,191,146,49,159
2014-08-04,255,331,149,153,135,53,140
2014-08-05,232,301,156,171,173,73,149
2014-08-06,202,308,167,177,169,54,165
2014-08-07,211,377,162,178,145,57,156
2014-08-08,212,353,196,137,169,53,154
2014-08-09,226,301,140,153,128,41,157
2014-08-10,231,301,166,153,149,50,142
2014-08-11,190,303,147,170,148,62,147
2014-08-12,189,335,163,152,152,57,137
2014-08-13,208,348,145,178,184,54,142
2014-08-14,226,266,161,179,144,49,129
2014-08-15,251,328,176,182,141,61,150
2014-08-16,228,341,154,158,153,54,156
2014-08-17,211,356,161,197,130,47,162
2014-08-18,199,325,168,227,165,54,143
2014-08-19,247,304,183,198,150,60,157
2014-08-20,180,315,150,175,110,40,125
2014-08-21,222,300,147,159,132,42,148
2014-08-22,241,349,164,179,160,40,137
2014-08-23,239,403,158,207,146,62,182
2014-08-24,254,341,150,174,159,43,125
2014-08-25,225,302,171,178,135,71,171
2014-08-26,206,326,152,182,136,60,144
2014-08-27,229,341,166,157,145,58,156
2014-08-28,235,330,193,191,166,71,145
2014-08-29,240,331,180,205,152,48,136
2014-08-30,207,326,175,197,133,60,154
2014-08-31,227,298,142,188,164,39,145
2014-09-01,228,281,161,181,187,51,137
2014-09-02,207,337,171,172,158,44,135
2014-09-03,206,291,150,176,147,31,135
2014-09-04,257,315,147,150,134,51,136
2014-09-05,233,307,135,181,144,55,161
2014-09-06,220,331,174,165,149,53,159
2014-09-07,232,397,179,162,147,64,164
2014-09-08,212,301,145,173,126,46,157
2014-09-09,232,328,152,187,152,51,128
2014-09-10,212,358,181,170,124,36,162
2014-09-11,228,310,178,198,142,55,129
2014-09-12,258,297,159,235,148,57,157
2014-09-13,240,309,145,190,145,58,142
2014-09-14,235,382,152,205,141,44,172
2014-09-15,265,310,178,198,135,52,172
2014-09-16,227,309,131,208,156,45,134
2014-09-17,256,310,149,216,125,66,129
2014-09-18,226,334,157,211,146,42,138
2014-09-19,240,288,178,199,140,55,138
2014-09-20,239,308,158,189,122,48,120
2014-09-21,212,352,174,179,158,40,173
2014-09-22,218,357,167,176,116,41,163
2014-09-23,217,330,164,213,150,59,190
2014-09-24,197,315,158,205,136,52,185
